STATEFP,PUMA5CE,PUMANAME,pumacode
01,00100,"Lauderdale, Colbert, Franklin & Marion (Northeast) Counties",100100
01,00200,Limestone & Madison (Outer) Counties--Huntsville City (Far West & Southwest),100200
01,00301,Huntsville (North) & Madison (East) Cities,100301
01,00302,Huntsville City (Central & South),100302
01,00400,De Kalb & Jackson Counties,100400
01,00500,Marshall & Madison (Southeast) Counties--Huntsville City (Far Southeast),100500
01,00600,Morgan & Lawrence Counties--Decatur City,100600
01,00700,Cullman & Winston Counties,100700
01,00800,St. Clair & Blount Counties,100800
01,00900,Etowah County,100900
01,01000,"Talladega, Cherokee, Randolph, Cleburne & Clay Counties",101000
01,01100,Calhoun County,101100
01,01200,Shelby County,101200
01,01301,Birmingham City (West),101301
01,01302,Birmingham City (East),101302
01,01303,"Jefferson County (Southeast)--Hoover (North), Vestavia Hills & Homewood Cities",101303
01,01304,"Jefferson County (Northeast)--Trussville, Center Point & Gardendale Cities",101304
01,01305,"Jefferson County (West)--Bessemer, Hueytown & Pleasant Grove Cities",101305
01,01400,"Walker, Marion (South & West), Fayette & Lamar Counties",101400
01,01500,Tuscaloosa (Outer) & Pickens Counties--Northport City (North & West),101500
01,01600,Tuscaloosa & Northport (Southeast) Cities,101600
01,01700,"Dallas, Bibb, Marengo, Hale, Sumter, Perry & Greene Counties",101700
01,01800,"Chilton, Tallapoosa, Chambers & Coosa Counties",101800
01,01900,Lee County--Auburn City,101900
01,02000,Montgomery City & Pike Road Town (North),102000
01,02100,"Elmore, Autauga, Montgomery (Outer) & Lowndes Counties",102100
01,02200,Southwest Alabama,102200
01,02300,"Coffee, Covington, Butler & Crenshaw Counties",102300
01,02400,"Russell, Pike, Barbour, Macon & Bullock Counties",102400
01,02500,"Houston, Dale, Geneva & Henry Counties--Dothan City",102500
01,02600,Baldwin County,102600
01,02701,Mobile City (East),102701
01,02702,Mobile City (West),102702
01,02703,"Mobile County (Outer)--Prichard City, Tillmans Corner & Saraland City",102703
02,00101,Anchorage Municipality (North),200101
02,00102,Anchorage Municipality (South),200102
02,00200,Matanuska-Susitna & Kenai Peninsula Boroughs,200200
02,00300,"Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska",200300
02,00400,Subsistence Alaska,200400
04,00100,Maricopa County--Gilbert (South) & Queen Creek Towns,400100
04,00101,Maricopa County--Mesa City (East),400101
04,00102,Maricopa County--Mesa City (North Central),400102
04,00103,Maricopa County--Mesa City (West),400103
04,00104,Maricopa County--Mesa City (South Central),400104
04,00105,Maricopa County--Gilbert Town (North),400105
04,00106,Maricopa County--Chandler City (Northeast),400106
04,00107,Maricopa County--Chandler City (South),400107
04,00108,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,400108
04,00109,Maricopa County--Tempe City (North),400109
04,00110,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,400110
04,00111,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,400111
04,00112,"Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek",400112
04,00113,Phoenix City (Northeast),400113
04,00114,Phoenix City (Northeast Central),400114
04,00115,Phoenix City (Northwest Central),400115
04,00116,Phoenix City (Uptown),400116
